"dep_com","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","localiteName_fr","localiteRefName","com_loc","admin3Name_fr","admin3Pcode","admin3RefName","admin2Name_fr","admin2Pcode","admin2RefName","admin1Name_fr","admin1Pcode","admin1RefName","admin0Name_fr","admin0Pcode","admin0RefName","POINT_X","POINT_Y","settlement_com_num","reg_dep","pay_reg","geometry","dep_percentage"
"Namentenga_Boulsa",0,0,0,0,1,0,0,0,0.4,0.6,1,0,0.6,0,0,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Bouroum",0.4,0.6,0.4,0.8,1,0.8,0,0.8,0,1,1,0.4,0,0,0,0.4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Dargo",0,0.2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Nagbingou",0,0.5,0,1,1,0.5,0,0,0,1,1,1,1,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Tougouri",0.142857142857143,0.571428571428571,0.285714285714286,0.285714285714286,1,0.142857142857143,0,0.285714285714286,0,1,1,0.428571428571429,0.714285714285714,0,0.142857142857143,1,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Yalgo",0.5,0.75,0,0,1,0.25,0,0,0,1,1,0.25,0.75,0,0.25,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Namentenga_Zeguedeguin",0,0.25,0.5,0.25,1,0,0,0,0.5,0.5,1,0.25,0,0,0,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Banikane Narhawa",0,0,0,0,1,1,0,0.5,0,1,1,1,1,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Dianke",0,0,0.333333333333333,0.333333333333333,1,1,0,0.666666666666667,0,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Fittouga",0,0.5,0,0.5,1,1,0.5,1,0,1,1,0,1,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Koumaira",0,0.333333333333333,0,0.333333333333333,0.666666666666667,1,0.333333333333333,0,0,1,0.666666666666667,0,1,0,0.666666666666667,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Lere",0,0.333333333333333,0,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0,0.333333333333333,1,0,0.666666666666667,0.666666666666667,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_N'gorkou",0,0,0.5,0.5,1,1,0,0.5,0,1,1,1,1,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Souboundou",0.5,0.5,0,0,1,1,0,1,0,1,1,1,1,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Niafunke_Soumpi",0,0.5,0.5,0.5,1,1,0,1,0.5,0.5,1,0.5,1,0,0,0.5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
"Ouallam_Dingazi",0,0,0.3,0.9,1,0.6,0,0.3,0.3,0.7,1,0.4,NA,0,0.4,0.5,10,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(),NA
