"dep_com","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num","n","dep_percentage"
"bandiagara_pignari_bana",0,0,0.5,0.5,0.5,1,0.5,1,0,1,0,0,1,0,0,1,2,2,38,0.0526315789473684
"bandiagara_sangha",0.5,1,0.5,1,1,1,0,1,0,1,1,0.5,1,0,0,1,2,2,84,0.0238095238095238
"bandiagara_segue_ire",0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,2,2,21,0.0952380952380952
"bandiagara_soroly",0,0,0.5,1,1,1,0,1,0,1,0,0.5,1,0,1,1,2,2,18,0.111111111111111
"bandiagara_timiri",0,0,1,1,0,1,0.5,1,0,1,0,0.5,1,0,0.5,1,2,2,40,0.05
"bandiagara_wadouba",0.5,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,2,2,68,0.0294117647058824
"banibangou_banibangou",0,0,0.875,0.9375,0.8125,0.75,0.25,0.6875,0.5,0.5,0.75,0.5625,1,0,0.75,0.375,16,31,206,0.0776699029126214
"bankass_bankass",0,0.5,0,1,0.5,1,0,1,0,1,0.5,1,1,0,0.5,1,2,2,37,0.0540540540540541
"bankass_baye",0,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.666666666666667,1,0,1,0,0.666666666666667,1,0,0.666666666666667,1,3,3,70,0.0428571428571429
"bankass_diallassagou",0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667,1,0,1,0.333333333333333,0.666666666666667,1,0,0.333333333333333,1,3,3,39,0.0769230769230769
"bankass_dimbal_habe",0,0.333333333333333,0.333333333333333,1,0.666666666666667,1,0.333333333333333,1,0,1,0.666666666666667,0.333333333333333,0.666666666666667,0,0.333333333333333,1,3,3,37,0.0810810810810811
"bankass_kani_bozon",0,0.5,1,1,1,1,0.5,1,0,1,1,0.5,1,0,0,1,2,3,24,0.0833333333333333
"bankass_koulogon_habe",0,0,0.5,1,1,1,0,1,0,1,0,0,1,0,1,1,2,2,23,0.0869565217391304
"bankass_lessagou_habe",0,0,0.5,0.5,1,1,0.5,1,0,1,0.5,0.5,1,0,0.5,1,2,2,31,0.0645161290322581
"bankass_ouonkoro",0,0,0,1,1,1,0,1,0,1,1,1,1,0,0.5,1,2,2,32,0.0625
"bankass_segue",0,0,1,1,0.666666666666667,1,0.333333333333333,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0,0.333333333333333,0.666666666666667,3,3,51,0.0588235294117647
"bankass_sokoura",0.666666666666667,1,0.666666666666667,0.666666666666667,1,1,0,1,0,1,1,0.666666666666667,1,0,0.333333333333333,1,3,3,57,0.0526315789473684
"bankass_soubala",0,0,0.5,0.5,1,1,0.5,1,0,1,0.5,0,1,0,0.5,1,2,2,17,0.117647058823529
"bankass_tori",0,0,0,1,1,1,0,1,0,1,1,0.5,1,0,0.5,1,2,2,23,0.0869565217391304
"bankilare_bankilare",0,0,0.375,0.625,1,0.125,0,0.125,0.375,0.625,0.625,0.75,0,0,0.375,0.875,8,13,155,0.0516129032258065
"bourem_bamba",0,0,0.571428571428571,0.571428571428571,0.714285714285714,0.714285714285714,0.285714285714286,0.571428571428571,0.285714285714286,0.714285714285714,0.142857142857143,0.428571428571429,0,0.285714285714286,0.571428571428571,0.428571428571429,7,7,54,0.12962962962963
"bourem_bourem",0,0.111111111111111,0.333333333333333,0.111111111111111,0.888888888888889,0.888888888888889,0,0.777777777777778,0.222222222222222,0.777777777777778,0.888888888888889,0.111111111111111,0,0,0.444444444444444,0.555555555555556,9,9,40,0.225
"bourem_taboye",0.333333333333333,0.333333333333333,0.666666666666667,0.5,1,0.666666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.166666666666667,0.5,0.166666666666667,0.5,0.166666666666667,6,6,28,0.214285714285714
"bourem_tarkint",0,0.2,0.666666666666667,0.466666666666667,0.533333333333333,0.8,0.533333333333333,0.733333333333333,0.333333333333333,0.666666666666667,0.2,0.533333333333333,0.6,0.0666666666666667,0.733333333333333,0.2,15,15,21,0.714285714285714
"bourem_temera",0,0,0.666666666666667,0.666666666666667,1,0.833333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.166666666666667,1,0.166666666666667,0.666666666666667,0.166666666666667,6,6,41,0.146341463414634
"dire_arham",0,0,0,0,1,0.5,0,0.5,0,1,0.5,0,NA,0,0,1,2,2,5,0.4
"dire_binga",0,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,1,0,1,0,0,0,0,1,0.666666666666667,3,3,8,0.375
"dire_dire",0,0,0,0,1,0,0,0,0,1,0.5,0,NA,0,0,0.5,2,2,4,0.5
"dire_garbakoira",0,0,0,0,1,0,0,1,0,1,1,0,NA,0,0,0,2,2,10,0.2
"dire_haibongo",0,0,0,0,1,0,0,0.5,0,1,1,0,NA,0,0,0,2,2,15,0.133333333333333
"dire_kirchamba",0,0,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0.5,NA,0,0.5,0,2,2,5,0.4
"dire_kondi",0,0,0,1,0,1,1,1,0,1,0,1,NA,0,1,0,2,2,5,0.4
"dire_sareyamou",0,0,0,0,1,0,0,1,0,1,1,0,NA,0,0,0,2,2,19,0.105263157894737
"dire_tienkour",0,0,0,0,1,1,0,0,0,1,0,1,NA,0,0,0,1,1,10,0.1
"dire_tindirma",0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,0,0.5,0,2,2,9,0.222222222222222
"djenne_dandougou_fakala",0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,1,0.333333333333333,0.333333333333333,0,1,0.333333333333333,0,1,0,0.333333333333333,1,3,3,15,0.2
"djenne_derrary",0,0,1,1,0.333333333333333,1,0.333333333333333,1,0,1,0.666666666666667,0.333333333333333,1,0,0,1,3,3,8,0.375
"djenne_djenne_commune",0,0,0,0,0.666666666666667,1,0,0.666666666666667,0,1,0.666666666666667,0.333333333333333,1,0,0,1,3,3,NA,NA
"djenne_fakala",0,0.333333333333333,0.666666666666667,0.666666666666667,1,1,0,0.666666666666667,0,1,1,0.333333333333333,1,0,0,0.666666666666667,3,3,61,0.0491803278688525
"djenne_femaye",0,0,0,0,1,1,0,0.666666666666667,0,1,1,0.333333333333333,1,0,0,1,3,3,21,0.142857142857143
"djenne_kewa",0,0,0.333333333333333,0.333333333333333,0.666666666666667,1,1,1,0,1,0,0.333333333333333,1,0,0.333333333333333,1,3,3,43,0.0697674418604651
"djenne_madiama",0.333333333333333,0.333333333333333,0,0,1,1,0,0.666666666666667,0,1,0.666666666666667,0,1,0,0,1,3,3,12,0.25
"djenne_nema_badenyakafo",0,0,0.333333333333333,0.333333333333333,0,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,NA,0,0.333333333333333,0.666666666666667,3,3,80,0.0375
"djenne_niansanari",0,0,0.333333333333333,0,1,1,0,0,0,1,1,0.333333333333333,1,0,0,1,3,3,8,0.375
"djenne_ouro_ali",0,0,0.666666666666667,0.666666666666667,1,1,0,0.666666666666667,0,1,1,0.333333333333333,1,0,0,1,3,3,16,0.1875
"djenne_pondori",0,0,0.333333333333333,0.333333333333333,1,1,0,1,0,1,0.333333333333333,0,NA,0,0.333333333333333,0.666666666666667,3,3,6,0.5
"djenne_togue_mourari",0,0,0.666666666666667,0.666666666666667,0,1,0.333333333333333,1,0,1,0,0,NA,0,0.333333333333333,1,3,3,13,0.230769230769231
"douentza_dallah",0,0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,1,0,0.333333333333333,0.666666666666667,3,3,23,0.130434782608696
"douentza_dangol_bore",0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0,1,0,0.333333333333333,1,0,0.333333333333333,1,3,3,36,0.0833333333333333
"douentza_debere",0,0,1,1,1,1,0.5,1,0,1,0.5,1,NA,0,0,1,2,4,8,0.25
"douentza_dianwely",0,0.333333333333333,0.666666666666667,0.666666666666667,1,1,0,0.666666666666667,0,1,0.333333333333333,0.333333333333333,1,0,0.666666666666667,1,3,3,10,0.3
"douentza_djaptodji",0,0.5,0.5,0.5,1,1,0,0.5,0,1,1,0.5,0.5,0,0,1,2,3,72,0.0277777777777778
"douentza_douentza_commune",0,0,1,1,0.5,1,0.5,1,0,1,0.5,0.5,1,0,1,1,2,2,NA,NA
"douentza_gandamia",0,0,0,0,1,1,0.5,1,1,0,0,0.5,NA,0,0,1,2,2,8,0.25
"douentza_haire",0,0,1,1,0.5,1,0.5,1,0,1,0,1,1,0,0.5,0.5,2,2,58,0.0344827586206897
"douentza_hombori",0.333333333333333,0.333333333333333,0.333333333333333,1,0.666666666666667,1,0.666666666666667,1,0,1,0.333333333333333,0.666666666666667,1,0,0.333333333333333,0.666666666666667,3,3,33,0.0909090909090909
"douentza_kerena",0,0,1,1,0,1,0.5,0,0,1,0,1,1,0,1,1,2,2,4,0.5
"douentza_koubewel_koundia",0,0,0.5,1,0.5,1,0.5,1,0,1,0.5,0.5,1,0,0.5,1,2,2,22,0.0909090909090909
"douentza_mondoro",0,0,1,1,0.666666666666667,1,0.333333333333333,1,0,1,0,0.666666666666667,NA,0,0,0.333333333333333,3,3,38,0.0789473684210526
"douentza_petaka",0,0,0.5,1,1,1,0,1,0.5,0.5,0.5,0.5,1,0,0.5,1,2,2,5,0.4
"douentza_tedie",0,0,0.5,1,0.5,1,0.5,1,0,1,0.5,0,NA,0,0.5,1,2,2,15,0.133333333333333
"filingue_filingue",0,0,0.366666666666667,0.533333333333333,1,0.133333333333333,0,0,0.1,0.9,0.866666666666667,0.5,NA,0,0.533333333333333,0.866666666666667,30,42,180,0.166666666666667
"filingue_imanan",0,0,0.428571428571429,0.285714285714286,1,0,0,0,0,1,0.571428571428571,0.571428571428571,NA,0,0.714285714285714,1,7,7,85,0.0823529411764706
"filingue_kourfeye_centre",0,0,0.583333333333333,0.75,1,0.333333333333333,0,0,0.166666666666667,0.833333333333333,0.666666666666667,0.416666666666667,NA,0,0.416666666666667,0.833333333333333,12,20,133,0.0902255639097744
"filingue_tondikandia",0,0,0.75,0.4375,1,0,0,0,0,1,0.625,0.625,NA,0,0.5,0.9375,16,29,227,0.0704845814977974
"gao_anchawadi",0.230769230769231,0.307692307692308,0.538461538461538,0.0769230769230769,0.538461538461538,0.692307692307692,0.461538461538462,0.692307692307692,0.230769230769231,0.769230769230769,0.230769230769231,0.461538461538462,0.8,0,0.692307692307692,0.615384615384615,13,13,33,0.393939393939394
"gao_gabero",0.0625,0.125,0.5,0.25,1,0.5625,0,0.625,0.1875,0.8125,0.5,0.4375,0.5,0.1875,0.5,0.3125,16,16,38,0.421052631578947
"gao_gao",0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,11,0.0909090909090909
"gao_gounzoureye",0.0588235294117647,0.0588235294117647,0.176470588235294,0.117647058823529,0.882352941176471,0.470588235294118,0.0588235294117647,0.764705882352941,0.176470588235294,0.823529411764706,0.941176470588235,0.0588235294117647,0.5,0.0588235294117647,0.529411764705882,0.411764705882353,17,17,34,0.5
"gao_n_tillit",0.25,0.375,0.75,0.625,0.5,1,0.625,0.75,0.375,0.625,0.375,0.625,1,0.375,0.75,0.375,8,8,17,0.470588235294118
"gao_sony_aliber",0,0,0.210526315789474,0.105263157894737,0.894736842105263,0.421052631578947,0.105263157894737,0.684210526315789,0,1,0.842105263157895,0.0526315789473684,NA,0.105263157894737,0.421052631578947,0.526315789473684,19,19,58,0.327586206896552
"gao_tilemsi",0.0769230769230769,0.153846153846154,0.230769230769231,0.0769230769230769,0.846153846153846,0.230769230769231,0.384615384615385,0.769230769230769,0.384615384615385,0.615384615384615,0.153846153846154,0.230769230769231,0.25,0,0.384615384615385,0.461538461538462,13,14,NA,NA
"gnagna_bilanga",0,0.0666666666666667,0.533333333333333,0.4,1,0.333333333333333,0,0.2,0.466666666666667,0.533333333333333,1,0.8,1,0.133333333333333,0.866666666666667,0.333333333333333,15,18,60,0.25
"gnagna_bogande",0,0,0.875,0.125,1,0.5,0,0,0.25,0.75,1,0.625,0.75,0.25,0.875,0.625,8,10,51,0.156862745098039
