dep_com;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num;n;dep_percentage
gotheye_dargol;0,00000000;0,00000000;0,80000000;0,30000000;1,0000000;0,15000000;0,00000000;0,10000000;0,15000000;0,8500000;0,75000000;0,7500000;NA;0,05000000;0,5500000;0,70000000;20;40;325;0,06153846
gotheye_gotheye;0,00000000;0,00000000;0,77777778;0,44444444;1,0000000;0,33333333;0,00000000;0,00000000;0,11111111;0,8888889;0,88888889;0,7777778;NA;0,00000000;0,5555556;0,88888889; 9;21;126;0,07142857
goundam_adarmalane;0,00000000;0,00000000;1,00000000;0,50000000;0,0000000;1,00000000;0,50000000;0,50000000;1,00000000;0,0000000;0,00000000;0,5000000;NA;0,00000000;1,0000000;0,00000000; 2; 2;  6;0,33333333
goundam_alzounoub;0,00000000;0,00000000;1,00000000;1,00000000;0,0000000;1,00000000;1,00000000;1,00000000;1,00000000;0,0000000;0,00000000;0,0000000;NA;0,00000000;1,0000000;0,00000000; 1; 1;  7;0,14285714
goundam_bintagoungou;0,00000000;0,00000000;0,33333333;0,33333333;0,6666667;0,33333333;0,33333333;0,33333333;0,33333333;0,6666667;0,33333333;0,0000000;NA;0,00000000;0,3333333;0,00000000; 3; 3;  8;0,37500000
goundam_douekire;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;0,0000000;0,00000000;0,0000000;1,00000000; 1; 1; 32;0,03125000
goundam_doukouria;0,00000000;0,25000000;0,50000000;0,50000000;0,2500000;0,75000000;0,75000000;0,75000000;0,50000000;0,5000000;0,00000000;0,2500000;1,0000000;0,00000000;0,7500000;0,25000000; 4; 4; 12;0,33333333
goundam_essakane;0,40000000;0,40000000;0,40000000;0,40000000;0,2000000;0,80000000;0,80000000;0,60000000;0,00000000;1,0000000;0,20000000;0,4000000;1,0000000;0,00000000;0,6000000;0,00000000; 5; 5; 23;0,21739130
goundam_gargando;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 1; 1; 13;0,07692308
goundam_goundam;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 1; 1;  2;0,50000000
goundam_issa_bery;0,00000000;0,00000000;0,50000000;0,50000000;0,5000000;0,50000000;0,50000000;0,00000000;0,50000000;0,5000000;0,50000000;0,5000000;NA;0,00000000;0,0000000;0,00000000; 2; 2;  7;0,28571429
goundam_kaneye;0,00000000;0,50000000;0,00000000;0,00000000;0,5000000;0,50000000;0,50000000;0,50000000;0,50000000;0,5000000;0,50000000;0,0000000;0,0000000;0,00000000;0,5000000;0,00000000; 2; 2;  4;0,50000000
goundam_razelma;1,00000000;1,00000000;1,00000000;1,00000000;0,0000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,00000000; 1; 1;  9;0,11111111
goundam_tilemsi;0,00000000;1,00000000;1,00000000;1,00000000;0,0000000;1,00000000;1,00000000;1,00000000;0,00000000;1,0000000;0,00000000;1,0000000;1,0000000;0,00000000;1,0000000;0,00000000; 3; 3;NA;NA
goundam_tin_aicha;0,00000000;0,00000000;0,50000000;0,50000000;0,5000000;0,50000000;0,50000000;0,50000000;0,00000000;1,0000000;0,00000000;0,5000000;NA;0,00000000;1,0000000;0,00000000; 2; 2;  9;0,22222222
goundam_tonka;0,00000000;0,00000000;0,00000000;0,00000000;1,0000000;0,00000000;0,00000000;0,00000000;1,00000000;0,0000000;1,00000000;0,0000000;NA;0,00000000;0,0000000;0,00000000; 1; 1; 24;0,04166667
gourma_diabo;0,05263158;0,10526316;0,31578947;0,15789474;1,0000000;0,10526316;0,00000000;0,10526316;0,05263158;0,9473684;1,00000000;0,8947368;0,6666667;0,00000000;0,7894737;0,68421053;19;19; 21;0,90476190
gourma_diapangou;0,00000000;0,00000000;0,20000000;0,20000000;1,0000000;0,20000000;0,00000000;0,00000000;0,00000000;1,0000000;1,00000000;0,8000000;1,0000000;0,00000000;0,4000000;0,80000000; 5; 6; 18;0,27777778
