State_Id;id_grid;idp_refugie_last_month;idp_refugie_3_months;food_access_no;mean_existence_access_no;market_access;security_feeling_no;health_access_no;education_access_no;diff_info_access;diff_info_access_no;nutri_programme;enough_water_access_no;pdi_vivant_cond_adeq_no;abris_dommages;procuration_savon;tel_mobile;settlement_assessed_num;ki_num
Tillaberi3077;1274;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;0,0000000;1,0000000;16; 1
Tillaberi3078;1275;0,0000000;0,00000000;0,6666667;0,66666667;1,0000000;0,3333333;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,00000000;NA;0,00000000;0,6666667;1,0000000;16; 4
Tillaberi3080;1277;0,0000000;0,00000000;1,0000000;0,50000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;0,0000000;1,0000000;16; 3
Tillaberi3082;1279;0,0000000;0,00000000;0,4000000;0,20000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,6000000;0,40000000;NA;0,00000000;0,4000000;1,0000000;16; 9
Tillaberi3219;1402;0,0000000;0,00000000;0,5555556;0,11111111;1,0000000;0,2222222;0,0000000;0,22222222;0,11111111;0,8888889;0,7777778;0,77777778;1,0000000;0,00000000;0,7777778;0,5555556;16;22
Tillaberi3220;1403;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,5000000;0,50000000;NA;0,00000000;0,5000000;1,0000000;16; 3
Tillaberi3221;1404;0,0000000;0,00000000;1,0000000;0,00000000;1,0000000;0,0000000;0,0000000;1,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;0,0000000;1,0000000;16; 2
Tillaberi3222;1405;0,0000000;0,00000000;1,0000000;0,00000000;1,0000000;0,0000000;0,0000000;1,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;0,0000000;0,0000000;16; 1
Tillaberi3223;1406;0,0000000;0,00000000;0,6000000;0,40000000;1,0000000;0,4000000;0,0000000;0,00000000;0,00000000;1,0000000;0,4000000;0,60000000;NA;0,00000000;0,2000000;0,4000000;16; 5
Tillaberi3224;1407;0,0000000;0,00000000;0,5000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;0,5000000;0,5000000;16; 6
Tillaberi3225;1408;0,0000000;0,00000000;0,7500000;0,00000000;1,0000000;0,2500000;0,0000000;0,00000000;0,00000000;1,0000000;0,7500000;1,00000000;NA;0,00000000;0,5000000;0,5000000;16; 4
Tillaberi3226;1409;0,0000000;0,00000000;0,8333333;0,50000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,8333333;0,33333333;NA;0,00000000;0,3333333;0,6666667;16;10
Tillaberi3227;1410;0,0000000;0,00000000;0,6000000;0,50000000;1,0000000;0,2000000;0,0000000;0,10000000;0,20000000;0,8000000;0,9000000;0,30000000;NA;0,00000000;0,8000000;0,8000000;16;12
Tillaberi3228;1411;0,0000000;0,00000000;1,0000000;0,00000000;1,0000000;0,0000000;0,0000000;0,00000000;1,00000000;0,0000000;1,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 2
Tillaberi3230;1413;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 2
Tillaberi3231;1414;0,0000000;0,00000000;0,3333333;0,33333333;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,0000000;1,00000000;NA;0,00000000;1,0000000;1,0000000;16; 7
Tillaberi3232;1415;0,0000000;0,00000000;0,5000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;0,50000000;NA;0,00000000;0,0000000;0,0000000;16; 3
Tillaberi3233;1416;0,0000000;0,00000000;0,5000000;0,50000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;0,5833333;0,41666667;NA;0,00000000;0,5833333;0,8333333;16;18
Tillaberi3234;1417;0,0000000;0,00000000;1,0000000;1,00000000;1,0000000;0,0000000;0,0000000;0,00000000;0,00000000;1,0000000;1,0000000;1,00000000;NA;0,00000000;1,0000000;0,0000000;16; 2
Tillaberi3369;1538;0,0000000;0,00000000;0,3333333;0,66666667;1,0000000;0,0000000;0,0000000;0,33333333;0,33333333;0,6666667;0,6666667;0,66666667;NA;0,00000000;0,6666667;1,0000000;16; 4
